"Type specimens at Botanical Survey of India, Central Regional Centre, Allahabad (BSA)",,,,,,,,,
Name of the Taxon,Family,Place of collection,"Date of 
Collection","Name of the
collector","F.No. / 
Coll. No.",Type Details,"Herbarium
Acronym",,
"Aderkomyces sikimensis Pinokiyo, Kr.
P. Singh & Lücking",Gomphillaceae,"Eastern Himalayala,
South Sikkim, Temi.",04.03.2005,"Athokpam
Pinokiyo",F-398,Paratype,BSA,,
"Graphis sundarbanensis Jgadeesh 
Ram & G.P.Sinha",Graphidaceae,"West Bengal, SBR,
Buridubri mangrove
forest",21.02.2004,"T.A.M.
Jagadeesh
Ram",828,Isotype,BSA,,
"Graphis sundarbanensis Jgadeesh 
Ram & G.P.Sinha",Graphidaceae,"West Bengal, SBR,
Chamta mangrove
forest",01.03.2004,"T.A.M.
Jagadeesh
Ram",1119,Paratype,BSA,,
"Graphis neoraensis Jagadeesh Ram
& G.P.Sinha",Graphidacdeae,"West Bengal,
Neora valley
National Park",17.05.2008,"T.A.M.
Jagadeesh
Ram",4337,Holotype,BSA,,
"Graphis neoraensis Jagadeesh Ram
& G.P.Sinha",Graphidacdeae,"West Bengal,
Neora valley
National Park",16.05.2008,"T.A.M.
Jagadeesh
Ram",4286,Paratype,BSA,,
"Hemithecium himalayanum Jagdeesh
Ram & G.P.Sinha",Graphidaceae,"West Bengal,
Neora valley
National Park,
Mulkharka-
Jorepokhari foot
track, Primary rain
forest, 2340 m.",18.05.2008,"T.A.M.
Jagadeesh
Ram",4376,Holotype,BSA,,
"Hemithecium himalayanum Jagdeesh
Ram & G.P.Sinha",Graphidaceae,"West Bengal, Neora
valley National Park,
PHE Source-Doley
foot track,
riverine primary
rain forest, alt.
2150 m.",10.03.2007,"T.A.M.
Jagadeesh
Ram",4008,Paratype,BSA,,
"Schistophoron indicum Kr.P.Singh &
Swarnalatha",Graphidaceae,"Arunachal Pradesh,
East Siang District,
Gette Basti",08.01.1983,K.P.Singh,2858,Holotype,BSA,,
"Astrosphaeriella sundarbanensis
Jagadeesh Ram & Aptroot","Melanomatacea
e","West Bengal, SBR, Matla
mangrove forest",28.02.2004,"T.A.M.
Jagadeesh
Ram",1036,Holotype,BSA,,
"Astrosphaeriella sundarbanensis
Jagadeesh Ram & Aptroot","Melanomatacea
e","West Bengal, SBR, Maya
dwip mangrove forest",27.02.2004,"T.A.M.
Jagadeesh
Ram",964,Paratype,BSA,,
"Mazosia lueckingii Kr.P.Singh &
Pinokiyo",Opegraphaceae,"Darjeeling, Ranju
Valley, on dicotyledon
leaves, alt. 1200 m",19.12.2006,K.P.Singh,220 A,Paratype F,BSA,,
